unique_key,created_date,agency,complaint_type,descriptor,location_type,incident_zip,city,status,bbl,latitude,longitude,Category,Sentiment,Complaint Text,Emotion
56416805,2022-12-31 23:58:09,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033.0,NEW YORK,Closed,1021650063.0,40.85118699615938,-73.93266992103403,Social,Neutral,Noise - Street/Sidewalk. Loud Music/Party,Neutral
56417398,2022-12-31 23:58:07,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,10002.0,NEW YORK,Closed,1003410075.0,40.71660673016186,-73.98527118746058,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56414723,2022-12-31 23:57:35,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11234.0,BROOKLYN,Closed,3078760032.0,40.62066491675458,-73.92604033064251,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56414092,2022-12-31 23:57:26,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385.0,RIDGEWOOD,Closed,4035470092.0,40.69876486024425,-73.90705261688515,Political,Negative,Illegal Parking. Blocked Hydrant,Neutral
56416291,2022-12-31 23:57:10,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11420.0,SOUTH OZONE PARK,Closed,4118000035.0,40.67147023762893,-73.82607382525573,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56417584,2022-12-31 23:57:10,NYPD,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11435.0,JAMAICA,Closed,4100390026.0,40.689538806897936,-73.80858859090917,Social,Neutral,Noise - Vehicle. Car/Truck Music,Neutral
56415064,2022-12-31 23:57:06,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033.0,NEW YORK,Closed,1021650063.0,40.85118699615938,-73.93266992103403,Social,Neutral,Noise - Street/Sidewalk. Loud Music/Party,Neutral
56417706,2022-12-31 23:56:58,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11419.0,SOUTH RICHMOND HILL,Closed,4094150068.0,40.690687034671306,-73.83202400792506,Social,Negative,Blocked Driveway. No Access,Sadness
56408021,2022-12-31 23:56:10,HPD,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11226.0,BROOKLYN,Closed,3052080025.0,40.63876319738314,-73.95662536998938,Social,Neutral,HEAT/HOT WATER. APARTMENT ONLY,Neutral
56415658,2022-12-31 23:55:44,NYPD,Noise - Commercial,Loud Music/Party,Store/Commercial,10032.0,NEW YORK,Closed,1021370018.0,40.83670343588696,-73.94337438646215,Social,Neutral,Noise - Commercial. Loud Music/Party,Neutral
56417094,2022-12-31 23:55:28,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11106.0,ASTORIA,Closed,4005330034.0,40.76785352558491,-73.93110434130257,Social,Negative,Blocked Driveway. No Access,Sadness
56415700,2022-12-31 23:55:18,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11373.0,ELMHURST,Closed,4015140056.0,40.74557609360738,-73.87967498756196,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56408901,2022-12-31 23:55:17,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10459.0,BRONX,Closed,2027090008.0,40.8177796548477,-73.89721844090171,Social,Neutral,HEAT/HOT WATER. ENTIRE BUILDING,Disgust
56415267,2022-12-31 23:55:16,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11220.0,BROOKLYN,Closed,,40.63907455481548,-74.01853825429683,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56418790,2022-12-31 23:55:11,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11220.0,BROOKLYN,Closed,3007830021.0,40.646371169333385,-74.0109223699337,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56419381,2022-12-31 23:55:05,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456.0,,Closed,,40.8331184934145,-73.91214449722825,Social,Neutral,Noise - Street/Sidewalk. Loud Music/Party,Neutral
56413842,2022-12-31 23:54:53,NYPD,Illegal Fireworks,,Park/Playground,11432.0,JAMAICA,Closed,4098480164.0,40.71216102845292,-73.79881687032427,Social,Negative,Illegal Fireworks. ,Fear
56416577,2022-12-31 23:54:48,NYPD,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11204.0,BROOKLYN,Closed,,40.62517064701951,-73.99163160479802,Political,Negative,Illegal Parking. Blocked Sidewalk,Surprise
56415978,2022-12-31 23:54:16,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10467.0,BRONX,Closed,2033360011.0,40.877403513899566,-73.8807128958957,Social,Neutral,Noise - Street/Sidewalk. Loud Music/Party,Neutral
56413439,2022-12-31 23:54:13,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,10453.0,BRONX,Closed,2031600009.0,40.85357934295106,-73.90405650854395,Social,Neutral,Noise - Residential. Banging/Pounding,Neutral
56415653,2022-12-31 23:54:07,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,10461.0,BRONX,Closed,2042230039.0,40.85625866053893,-73.83815971912294,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56419453,2022-12-31 23:53:53,NYPD,Illegal Fireworks,,Street/Sidewalk,11218.0,,Closed,,40.638523965447085,-73.97318550995647,Social,Negative,Illegal Fireworks. ,Fear
56412918,2022-12-31 23:53:46,NYPD,Illegal Fireworks,,Residential Building/House,10312.0,,Closed,,40.554333792043415,-74.18411476030887,Social,Negative,Illegal Fireworks. ,Fear
56413648,2022-12-31 23:53:13,NYPD,Noise - Residential,Loud Talking,Residential Building/House,11375.0,FOREST HILLS,Closed,4032250051.0,40.71380147810189,-73.85046710954593,Social,Neutral,Noise - Residential. Loud Talking,Disgust
56410270,2022-12-31 23:53:00,DEP,Noise,Noise: Construction Before/After Hours (NM1),,11378.0,MASPETH,Closed,4023660045.0,40.72643141772244,-73.90292990381002,Social,Neutral,Noise. Noise: Construction Before/After Hours (NM1),Neutral
56414487,2022-12-31 23:52:53,NYPD,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10001.0,NEW YORK,Closed,1007010001.0,40.75205887561355,-74.00286215142387,Political,Negative,Illegal Parking. Posted Parking Sign Violation,Anger
56413006,2022-12-31 23:52:50,NYPD,Blocked Driveway,No Access,Street/Sidewalk,10472.0,BRONX,Closed,2037130057.0,40.82450768877859,-73.87823150650688,Social,Negative,Blocked Driveway. No Access,Sadness
56412631,2022-12-31 23:52:31,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11220.0,BROOKLYN,Closed,3007490035.0,40.64568543102681,-74.00374405334968,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56418767,2022-12-31 23:52:30,NYPD,Illegal Fireworks,,Street/Sidewalk,10461.0,BRONX,Closed,2042230039.0,40.85634731588878,-73.83874873794484,Social,Negative,Illegal Fireworks. ,Fear
56414679,2022-12-31 23:52:25,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11212.0,BROOKLYN,Closed,3035440001.0,40.66670125665266,-73.90810299555683,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56419503,2022-12-31 23:52:23,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11218.0,BROOKLYN,Closed,3054180001.0,40.63437840816299,-73.96946177104543,Social,Neutral,Noise - Street/Sidewalk. Loud Music/Party,Neutral
56409234,2022-12-31 23:52:15,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11385.0,RIDGEWOOD,Closed,4034320068.0,40.705019921035245,-73.91376683177621,Social,Neutral,HEAT/HOT WATER. ENTIRE BUILDING,Disgust
56410059,2022-12-31 23:52:00,DOT,Traffic Signal Condition,Controller,,11368.0,QUEENS,Closed,,40.74937520565083,-73.86751257995878,Political,Neutral,Traffic Signal Condition. Controller,Neutral
56417776,2022-12-31 23:51:48,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11223.0,BROOKLYN,Closed,3066770009.0,40.603778293663325,-73.97610927840864,Social,Neutral,Noise - Street/Sidewalk. Loud Music/Party,Neutral
56413615,2022-12-31 23:51:44,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11374.0,REGO PARK,Closed,4031500074.0,40.71927168368092,-73.85908397602411,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56414638,2022-12-31 23:51:40,NYPD,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10001.0,NEW YORK,Closed,1007000054.0,40.75205338521735,-74.00289824388896,Political,Negative,Illegal Parking. Posted Parking Sign Violation,Anger
56418206,2022-12-31 23:51:30,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11355.0,FLUSHING,Closed,4051017506.0,40.7550930552116,-73.83213230370299,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56415511,2022-12-31 23:51:26,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11221.0,BROOKLYN,Closed,3016090064.0,40.690653018907895,-73.93814358947272,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56413345,2022-12-31 23:50:52,NYPD,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10031.0,NEW YORK,Closed,1020900040.0,40.82609344445307,-73.95176624088222,Social,Neutral,Noise - Vehicle. Car/Truck Music,Neutral
56413107,2022-12-31 23:50:31,NYPD,Illegal Fireworks,,Street/Sidewalk,11228.0,BROOKLYN,Closed,3061780073.0,40.6217151462734,-74.00511155317226,Social,Negative,Illegal Fireworks. ,Fear
56417308,2022-12-31 23:50:30,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11358.0,FLUSHING,Closed,4052950029.0,40.76227076957179,-73.79805184012412,Social,Negative,Blocked Driveway. No Access,Sadness
56417245,2022-12-31 23:50:20,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,10458.0,BRONX,Closed,2030580001.0,40.858257778647,-73.89029816225118,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56418121,2022-12-31 23:50:17,NYPD,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10001.0,NEW YORK,Closed,1007017501.0,40.75196555947967,-74.00264198222871,Political,Negative,Illegal Parking. Posted Parking Sign Violation,Anger
56413853,2022-12-31 23:49:39,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11203.0,BROOKLYN,Closed,3048130001.0,40.65941517743085,-73.9389835134306,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56413354,2022-12-31 23:49:21,DCA,Consumer Complaint,Mobile Food Vendor,Business,10028.0,NEW YORK,Closed,1011110001.0,40.77863290127972,-73.96254609596876,Economic,Negative,Consumer Complaint. Mobile Food Vendor,Neutral
56415276,2022-12-31 23:49:13,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11230.0,BROOKLYN,Closed,3067120088.0,40.62647749444768,-73.95654689480234,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56408321,2022-12-31 23:49:10,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11203.0,BROOKLYN,Closed,3047760027.0,40.64368943057909,-73.92370862728106,Social,Neutral,HEAT/HOT WATER. ENTIRE BUILDING,Disgust
56414256,2022-12-31 23:49:10,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10001.0,NEW YORK,Closed,1007010022.0,40.751949091820414,-74.0026058889311,Political,Negative,Illegal Parking. Blocked Hydrant,Neutral
56414646,2022-12-31 23:48:12,NYPD,Illegal Fireworks,,Residential Building/House,11370.0,EAST ELMHURST,Closed,,40.76178871588876,-73.89596199764362,Social,Negative,Illegal Fireworks. ,Fear
56410623,2022-12-31 23:48:00,DOT,Traffic Signal Condition,Controller,,,,Closed,,,,Political,Neutral,Traffic Signal Condition. Controller,Neutral
56418336,2022-12-31 23:47:58,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,10457.0,BRONX,Closed,2028210032.0,40.84245876949598,-73.91217553200866,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56412778,2022-12-31 23:47:47,NYPD,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11358.0,FLUSHING,Closed,4052870034.0,40.7627449831733,-73.80084443309389,Political,Negative,Illegal Parking. Blocked Sidewalk,Surprise
56413367,2022-12-31 23:47:23,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214.0,BROOKLYN,Closed,3063700021.0,40.60547152362805,-74.00330603533033,Political,Negative,Illegal Parking. Blocked Hydrant,Neutral
56419075,2022-12-31 23:47:19,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,10031.0,NEW YORK,Closed,1020710005.0,40.822355449049454,-73.95250963248594,Social,Neutral,Noise - Residential. Banging/Pounding,Neutral
56413395,2022-12-31 23:47:17,NYPD,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11377.0,WOODSIDE,Closed,4010230036.0,40.75977727317729,-73.90607588375873,Social,Neutral,Noise - Vehicle. Car/Truck Music,Neutral
56412323,2022-12-31 23:47:00,DOT,Traffic Signal Condition,Controller,,11212.0,BROOKLYN,Closed,,40.65413345856589,-73.91232974956823,Political,Neutral,Traffic Signal Condition. Controller,Neutral
56408577,2022-12-31 23:46:13,HPD,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11412.0,SAINT ALBANS,Closed,4109420104.0,40.7064550488204,-73.75510869739632,Social,Neutral,DOOR/WINDOW. WINDOW FRAME,Neutral
56416067,2022-12-31 23:46:12,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11103.0,ASTORIA,Closed,4006830015.0,40.76281696373604,-73.91475329915083,Political,Negative,Illegal Parking. Blocked Hydrant,Neutral
56415671,2022-12-31 23:46:12,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,10034.0,NEW YORK,Closed,1022470035.0,40.8668997583908,-73.92708613495817,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56416452,2022-12-31 23:46:10,NYPD,Illegal Fireworks,,Residential Building/House,10312.0,STATEN ISLAND,Closed,5063590042.0,40.528652800601854,-74.16645004747204,Social,Negative,Illegal Fireworks. ,Fear
56415411,2022-12-31 23:46:06,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11373.0,ELMHURST,Closed,4015660021.0,40.74613788130884,-73.87371920014024,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56419407,2022-12-31 23:45:50,NYPD,Illegal Fireworks,,Street/Sidewalk,11230.0,BROOKLYN,Closed,3054280003.0,40.63028098977859,-73.97161084601413,Social,Negative,Illegal Fireworks. ,Fear
56412526,2022-12-31 23:45:38,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,10025.0,NEW YORK,Closed,1012410025.0,40.79215609704783,-73.97181267742812,Social,Neutral,Noise - Residential. Banging/Pounding,Neutral
56418690,2022-12-31 23:45:32,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11374.0,REGO PARK,Closed,4021150001.0,40.72937885745978,-73.85543290785074,Social,Neutral,Noise - Street/Sidewalk. Loud Music/Party,Neutral
56410070,2022-12-31 23:45:00,DOT,Traffic Signal Condition,Controller,,11368.0,QUEENS,Closed,,40.74937520565083,-73.86751257995878,Political,Neutral,Traffic Signal Condition. Controller,Neutral
56413183,2022-12-31 23:44:50,NYPD,Illegal Fireworks,,Street/Sidewalk,11385.0,RIDGEWOOD,Closed,4034520004.0,40.70232942829639,-73.90938471087401,Social,Negative,Illegal Fireworks. ,Fear
56418399,2022-12-31 23:44:06,NYPD,Illegal Fireworks,,Park/Playground,11223.0,BROOKLYN,Closed,3066810472.0,40.60274696572387,-73.9677944791924,Social,Negative,Illegal Fireworks. ,Fear
56414096,2022-12-31 23:43:56,DHS,Homeless Person Assistance,,Store/Commercial,10001.0,NEW YORK,Closed,1007050039.0,40.75400493628664,-73.99981953120813,Social,Neutral,Homeless Person Assistance. ,Neutral
56417917,2022-12-31 23:43:49,NYPD,Blocked Driveway,Partial Access,Street/Sidewalk,10463.0,BRONX,Closed,2057410101.0,40.88417347325767,-73.91319089326593,Social,Negative,Blocked Driveway. Partial Access,Neutral
56415941,2022-12-31 23:43:46,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10472.0,,Closed,,40.82729739072406,-73.86918217302072,Political,Negative,Illegal Parking. Blocked Hydrant,Neutral
56416069,2022-12-31 23:43:29,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10309.0,STATEN ISLAND,Closed,5070220047.0,40.53954697263303,-74.21444667038284,Political,Negative,Illegal Parking. Blocked Hydrant,Neutral
56409507,2022-12-31 23:43:27,HPD,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10037.0,NEW YORK,Closed,1017600101.0,40.81262819922922,-73.93561342471233,Social,Neutral,HEAT/HOT WATER. APARTMENT ONLY,Neutral
56413878,2022-12-31 23:42:42,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11216.0,BROOKLYN,Closed,3018050005.0,40.68793908943005,-73.94481683798875,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56417678,2022-12-31 23:42:02,NYPD,Illegal Fireworks,,Street/Sidewalk,11230.0,BROOKLYN,Closed,3065130012.0,40.62893725764294,-73.96597332959456,Social,Negative,Illegal Fireworks. ,Fear
56418520,2022-12-31 23:41:54,NYPD,Illegal Fireworks,,Street/Sidewalk,11204.0,BROOKLYN,Closed,3065620018.0,40.611345605703065,-73.97568517571713,Social,Negative,Illegal Fireworks. ,Fear
56418727,2022-12-31 23:41:51,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11106.0,ASTORIA,Closed,4006080034.0,40.75884813170485,-73.92682901390098,Social,Neutral,Noise - Street/Sidewalk. Loud Music/Party,Neutral
56418912,2022-12-31 23:41:29,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,10458.0,BRONX,Closed,2030317501.0,40.85643458923439,-73.8954488399989,Social,Neutral,Noise - Residential. Banging/Pounding,Neutral
56412574,2022-12-31 23:40:54,NYPD,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11385.0,RIDGEWOOD,Closed,4036670625.0,40.704297541284014,-73.89056595025376,Political,Negative,Illegal Parking. Commercial Overnight Parking,Neutral
56416770,2022-12-31 23:40:33,NYPD,Illegal Fireworks,,Street/Sidewalk,10309.0,,Closed,,40.52987437915821,-74.21728267152571,Social,Negative,Illegal Fireworks. ,Fear
56419472,2022-12-31 23:40:05,NYPD,Illegal Fireworks,,Street/Sidewalk,11218.0,,Closed,,40.63968638126339,-73.97990859982983,Social,Negative,Illegal Fireworks. ,Fear
56415556,2022-12-31 23:39:52,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11230.0,BROOKLYN,Closed,3066170042.0,40.61069429577656,-73.9625214638703,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56413788,2022-12-31 23:39:46,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11207.0,BROOKLYN,Closed,3034310003.0,40.69137998598388,-73.90528155347057,Social,Neutral,Noise - Residential. Banging/Pounding,Neutral
56413694,2022-12-31 23:39:43,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11432.0,JAMAICA,Closed,4098120030.0,40.70908080728382,-73.78483118721168,Social,Negative,Blocked Driveway. No Access,Sadness
56415633,2022-12-31 23:39:35,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,10314.0,,Closed,,40.59133819587824,-74.15308248400864,Social,Neutral,Noise - Residential. Banging/Pounding,Neutral
56413412,2022-12-31 23:39:24,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10001.0,NEW YORK,Closed,1007010062.0,40.75294542272623,-74.00309679521334,Political,Negative,Illegal Parking. Blocked Hydrant,Neutral
56417610,2022-12-31 23:39:11,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11207.0,BROOKLYN,Closed,3034310003.0,40.69137998598388,-73.90528155347057,Social,Neutral,Noise - Residential. Banging/Pounding,Neutral
56414385,2022-12-31 23:39:06,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11414.0,HOWARD BEACH,Closed,4114177501.0,40.66824779100601,-73.84937246206556,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56418198,2022-12-31 23:38:42,NYPD,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10001.0,,Closed,,40.75390886966659,-73.99961379734235,Political,Negative,Illegal Parking. Posted Parking Sign Violation,Anger
56417663,2022-12-31 23:38:31,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,10468.0,BRONX,Closed,2031720016.0,40.85923621735196,-73.90085983937489,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56418516,2022-12-31 23:38:28,NYPD,Illegal Fireworks,,Street/Sidewalk,11230.0,BROOKLYN,Closed,3052330001.0,40.63435540223512,-73.965743583964,Social,Negative,Illegal Fireworks. ,Fear
56414211,2022-12-31 23:38:19,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10465.0,BRONX,Closed,2054690037.0,40.83324167020901,-73.81801161535397,Social,Neutral,Noise - Street/Sidewalk. Loud Music/Party,Neutral
56415168,2022-12-31 23:38:10,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11220.0,BROOKLYN,Closed,3008390058.0,40.641902124958186,-74.0155663074929,Political,Negative,Illegal Parking. Blocked Hydrant,Neutral
56416551,2022-12-31 23:38:06,NYPD,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11226.0,BROOKLYN,Closed,3051070093.0,40.64925227825378,-73.95284546724913,Political,Negative,Illegal Parking. Blocked Sidewalk,Surprise
56418353,2022-12-31 23:37:49,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11221.0,BROOKLYN,Closed,3016090064.0,40.690653018907895,-73.93814358947272,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56407809,2022-12-31 23:37:31,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10458.0,BRONX,Closed,2032870053.0,40.86603958514803,-73.89091079946117,Social,Neutral,HEAT/HOT WATER. ENTIRE BUILDING,Disgust
56407800,2022-12-31 23:37:29,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10463.0,BRONX,Closed,2032590006.0,40.87335613626057,-73.90555386372127,Social,Neutral,HEAT/HOT WATER. ENTIRE BUILDING,Disgust
56407922,2022-12-31 23:37:29,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10463.0,BRONX,Closed,2032590006.0,40.87335613626057,-73.90555386372127,Social,Neutral,HEAT/HOT WATER. ENTIRE BUILDING,Disgust
56409512,2022-12-31 23:37:24,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11235.0,BROOKLYN,Closed,3086880079.0,40.57704298813817,-73.96230995850634,Social,Neutral,HEAT/HOT WATER. ENTIRE BUILDING,Disgust
56407883,2022-12-31 23:37:07,HPD,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,10312.0,STATEN ISLAND,Closed,5063130032.0,40.54099191580793,-74.19043185701739,Social,Negative,WATER LEAK. DAMP SPOT,Neutral
56412344,2022-12-31 23:37:07,HPD,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10312.0,STATEN ISLAND,Closed,5063130032.0,40.54099191580793,-74.19043185701739,Social,Neutral,FLOORING/STAIRS. FLOOR,Neutral
56411890,2022-12-31 23:37:07,HPD,ELECTRIC,WIRING,RESIDENTIAL BUILDING,10312.0,STATEN ISLAND,Closed,5063130032.0,40.54099191580793,-74.19043185701739,Social,Neutral,ELECTRIC. WIRING,Disgust
56411387,2022-12-31 23:37:07,HPD,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10312.0,STATEN ISLAND,Closed,5063130032.0,40.54099191580793,-74.19043185701739,Social,Neutral,PAINT/PLASTER. CEILING,Neutral
56409867,2022-12-31 23:37:07,HPD,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10312.0,STATEN ISLAND,Closed,5063130032.0,40.54099191580793,-74.19043185701739,Social,Neutral,UNSANITARY CONDITION. MOLD,Neutral
56408020,2022-12-31 23:37:07,HPD,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10312.0,STATEN ISLAND,Closed,5063130032.0,40.54099191580793,-74.19043185701739,Social,Neutral,PLUMBING. BATHTUB/SHOWER,Neutral
56407864,2022-12-31 23:37:07,HPD,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10312.0,STATEN ISLAND,Closed,5063130032.0,40.54099191580793,-74.19043185701739,Social,Neutral,PAINT/PLASTER. WALL,Neutral
56418075,2022-12-31 23:36:23,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,10456.0,BRONX,Closed,2027860002.0,40.838255833785965,-73.91115110501995,Social,Neutral,Noise - Residential. Loud Music/Party,Neutral
56417533,2022-12-31 23:36:20,NYPD,Illegal Fireworks,,Street/Sidewalk,11204.0,BROOKLYN,Closed,3065620019.0,40.611329130839366,-73.97565636842324,Social,Negative,Illegal Fireworks. ,Fear
56408454,2022-12-31 23:35:18,DOT,Street Condition,Pothole,,10304.0,STATEN ISLAND,Closed,,,,Political,Neutral,Street Condition. Pothole,Neutral
